FE_MW,humidity,precipation,max_temp,min_temp,wind_speed
175330.0,39.59,0.0,76.6,52.44,11.53
169837.0,41.92,0.0,80.78,49.42,6.79
166133.0,40.7,0.0,82.27,50.1,9.42
146120.0,39.24,0.0,80.97,50.27,7.44
140809.0,40.76,0.03,73.8,53.06,5.26
166832.0,41.5,0.0,77.11,49.7,9.7
171957.0,31.19,0.0,76.12,49.03,8.58
174580.0,35.6,0.0,75.97,47.82,7.82
173969.0,40.09,0.0,72.51,45.62,7.87
169664.0,48.07,0.0,72.94,46.36,5.87
149365.0,50.05,0.73,69.02,47.32,10.54
149019.0,50.38,0.0,68.66,41.97,10.72
175162.0,44.39,0.0,71.34,42.93,5.08
176204.0,43.19,0.0,72.23,40.8,6.41
174768.0,43.21,0.0,74.94,46.07,11.94
176662.0,43.21,0.0,77.4,41.37,8.88
171474.0,35.15,0.0,76.61,49.55,6.52
155391.0,36.39,0.0,75.51,51.02,6.57
144341.0,38.93,0.0,75.7,46.66,11.16
168371.0,32.44,0.0,74.83,42.68,8.51
174184.0,32.33,0.0,67.73,43.81,11.17
174673.0,42.84,0.0,70.02,43.63,6.44
173073.0,48.09,0.3,67.26,39.55,7.25
172118.0,44.16,0.02,67.17,48.89,15.37
154632.0,28.3,0.0,58.2,36.54,10.7
147021.0,37.76,0.0,60.22,31.5,7.85
174644.0,34.25,0.0,64.04,31.17,11.29
175636.0,38.3,0.0,64.07,36.13,6.9
177282.0,37.07,0.0,65.68,38.94,7.13
177020.0,45.89,0.0,62.91,37.62,6.5
171324.0,40.49,0.0,67.73,38.17,7.93
156202.0,46.56,0.0,66.32,36.8,6.13
155955.0,51.89,0.0,67.37,40.32,4.28
185631.0,44.91,0.0,65.61,36.2,7.99
181155.0,51.03,0.0,61.23,33.86,5.32
184294.0,55.9,0.0,64.41,36.23,8.3
186299.0,46.58,0.0,67.25,35.69,8.08
186025.0,44.14,0.0,71.16,39.93,18.09
167900.0,30.87,0.0,51.92,39.09,13.94
